term	reading	meaning	detail	example	exampleMeaning	partOfSpeech
排出量を整理する	はいしゅつりょうをせいりする	배출량을 정리하다	배출량을 정리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を整理した。	담당자는 회의에서 배출량을 정리했다.	동사구
排出量を最適化する	はいしゅつりょうをさいてきかする	배출량을 최적화하다	배출량을 최적화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を最適化した。	담당자는 회의에서 배출량을 최적화했다.	동사구
排出量を検討する	はいしゅつりょうをけんとうする	배출량을 검토하다	배출량을 검토한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を検討した。	담당자는 회의에서 배출량을 검토했다.	동사구
排出量を検証する	はいしゅつりょうをけんしょうする	배출량을 검증하다	배출량을 검증한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を検証した。	담당자는 회의에서 배출량을 검증했다.	동사구
排出量を比較する	はいしゅつりょうをひかくする	배출량을 비교하다	배출량을 비교한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を比較した。	담당자는 회의에서 배출량을 비교했다.	동사구
排出量を活用する	はいしゅつりょうをかつようする	배출량을 활용하다	배출량을 활용한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を活用した。	담당자는 회의에서 배출량을 활용했다.	동사구
排出量を監視する	はいしゅつりょうをかんしする	배출량을 감시하다	배출량을 감시한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を監視した。	담당자는 회의에서 배출량을 감시했다.	동사구
排出量を確認する	はいしゅつりょうをかくにんする	배출량을 확인하다	배출량을 확인한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を確認した。	담당자는 회의에서 배출량을 확인했다.	동사구
排出量を管理する	はいしゅつりょうをかんりする	배출량을 관리하다	배출량을 관리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を管理した。	담당자는 회의에서 배출량을 관리했다.	동사구
排出量を維持する	はいしゅつりょうをいじする	배출량을 유지하다	배출량을 유지한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を維持した。	담당자는 회의에서 배출량을 유지했다.	동사구
排出量を縮小する	はいしゅつりょうをしゅくしょうする	배출량을 축소하다	배출량을 축소한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を縮小した。	담당자는 회의에서 배출량을 축소했다.	동사구
排出量を観察する	はいしゅつりょうをかんさつする	배출량을 관찰하다	배출량을 관찰한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を観察した。	담당자는 회의에서 배출량을 관찰했다.	동사구
排出量を解釈する	はいしゅつりょうをかいしゃくする	배출량을 해석하다	배출량을 해석한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を解釈した。	담당자는 회의에서 배출량을 해석했다.	동사구
排出量を記録する	はいしゅつりょうをきろくする	배출량을 기록하다	배출량을 기록한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を記録した。	담당자는 회의에서 배출량을 기록했다.	동사구
排出量を評価する	はいしゅつりょうをひょうかする	배출량을 평가하다	배출량을 평가한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を評価した。	담당자는 회의에서 배출량을 평가했다.	동사구
排出量を調整する	はいしゅつりょうをちょうせいする	배출량을 조정하다	배출량을 조정한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を調整した。	담당자는 회의에서 배출량을 조정했다.	동사구
排出量を調査する	はいしゅつりょうをちょうさする	배출량을 조사하다	배출량을 조사한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を調査した。	담당자는 회의에서 배출량을 조사했다.	동사구
排出量を軽減する	はいしゅつりょうをけいげんする	배출량을 경감하다	배출량을 경감한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を軽減した。	담당자는 회의에서 배출량을 경감했다.	동사구
排出量を防止する	はいしゅつりょうをぼうしする	배출량을 방지하다	배출량을 방지한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で排出量を防止した。	담당자는 회의에서 배출량을 방지했다.	동사구
排出量予測	はいしゅつりょうよそく	배출량 예측	배출량을 예측하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量予測の結果を共有した。	회의에서는 배출량 예측 결과를 공유했다.	복합명사
排出量体系化	はいしゅつりょうたいけいか	배출량 체계화	배출량을 체계화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量体系化の結果を共有した。	회의에서는 배출량 체계화 결과를 공유했다.	복합명사
排出量促進	はいしゅつりょうそくしん	배출량 촉진	배출량을 촉진하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量促進の結果を共有した。	회의에서는 배출량 촉진 결과를 공유했다.	복합명사
排出量保護	はいしゅつりょうほご	배출량 보호	배출량을 보호하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量保護の結果を共有した。	회의에서는 배출량 보호 결과를 공유했다.	복합명사
排出量共有	はいしゅつりょうきょうゆう	배출량 공유	배출량을 공유하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量共有の結果を共有した。	회의에서는 배출량 공유 결과를 공유했다.	복합명사
排出量具体化	はいしゅつりょうぐたいか	배출량 구체화	배출량을 구체화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量具体化の結果を共有した。	회의에서는 배출량 구체화 결과를 공유했다.	복합명사
排出量分析	はいしゅつりょうぶんせき	배출량 분석	배출량을 분석하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量分析の結果を共有した。	회의에서는 배출량 분석 결과를 공유했다.	복합명사
排出量分類	はいしゅつりょうぶんるい	배출량 분류	배출량을 분류하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量分類の結果を共有した。	회의에서는 배출량 분류 결과를 공유했다.	복합명사
排出量可視化	はいしゅつりょうかしか	배출량 시각화	배출량을 시각화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量可視化の結果を共有した。	회의에서는 배출량 시각화 결과를 공유했다.	복합명사
排出量強化	はいしゅつりょうきょうか	배출량 강화	배출량을 강화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量強化の結果を共有した。	회의에서는 배출량 강화 결과를 공유했다.	복합명사
排出量復旧	はいしゅつりょうふっきゅう	배출량 복구	배출량을 복구하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量復旧の結果を共有した。	회의에서는 배출량 복구 결과를 공유했다.	복합명사
排出量把握	はいしゅつりょうはあく	배출량 파악	배출량을 파악하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量把握の結果を共有した。	회의에서는 배출량 파악 결과를 공유했다.	복합명사
排出量抑制	はいしゅつりょうよくせい	배출량 억제	배출량을 억제하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量抑制の結果を共有した。	회의에서는 배출량 억제 결과를 공유했다.	복합명사
排出量拡大	はいしゅつりょうかくだい	배출량 확대	배출량을 확대하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量拡大の結果を共有した。	회의에서는 배출량 확대 결과를 공유했다.	복합명사
排出量推進	はいしゅつりょうすいしん	배출량 추진	배출량을 추진하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量推進の結果を共有した。	회의에서는 배출량 추진 결과를 공유했다.	복합명사
排出量改善	はいしゅつりょうかいぜん	배출량 개선	배출량을 개선하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量改善の結果を共有した。	회의에서는 배출량 개선 결과를 공유했다.	복합명사
排出量数値化	はいしゅつりょうすうちか	배출량 수치화	배출량을 수치화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量数値化の結果を共有した。	회의에서는 배출량 수치화 결과를 공유했다.	복합명사
排出量整理	はいしゅつりょうせいり	배출량 정리	배출량을 정리하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量整理の結果を共有した。	회의에서는 배출량 정리 결과를 공유했다.	복합명사
排出量最適化	はいしゅつりょうさいてきか	배출량 최적화	배출량을 최적화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量最適化の結果を共有した。	회의에서는 배출량 최적화 결과를 공유했다.	복합명사
排出量検討	はいしゅつりょうけんとう	배출량 검토	배출량을 검토하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量検討の結果を共有した。	회의에서는 배출량 검토 결과를 공유했다.	복합명사
排出量検証	はいしゅつりょうけんしょう	배출량 검증	배출량을 검증하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量検証の結果を共有した。	회의에서는 배출량 검증 결과를 공유했다.	복합명사
排出量比較	はいしゅつりょうひかく	배출량 비교	배출량을 비교하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量比較の結果を共有した。	회의에서는 배출량 비교 결과를 공유했다.	복합명사
排出量活用	はいしゅつりょうかつよう	배출량 활용	배출량을 활용하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量活用の結果を共有した。	회의에서는 배출량 활용 결과를 공유했다.	복합명사
排出量監視	はいしゅつりょうかんし	배출량 감시	배출량을 감시하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量監視の結果を共有した。	회의에서는 배출량 감시 결과를 공유했다.	복합명사
排出量確認	はいしゅつりょうかくにん	배출량 확인	배출량을 확인하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量確認の結果を共有した。	회의에서는 배출량 확인 결과를 공유했다.	복합명사
排出量管理	はいしゅつりょうかんり	배출량 관리	배출량을 관리하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量管理の結果を共有した。	회의에서는 배출량 관리 결과를 공유했다.	복합명사
排出量維持	はいしゅつりょういじ	배출량 유지	배출량을 유지하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量維持の結果を共有した。	회의에서는 배출량 유지 결과를 공유했다.	복합명사
排出量縮小	はいしゅつりょうしゅくしょう	배출량 축소	배출량을 축소하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量縮小の結果を共有した。	회의에서는 배출량 축소 결과를 공유했다.	복합명사
排出量観察	はいしゅつりょうかんさつ	배출량 관찰	배출량을 관찰하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量観察の結果を共有した。	회의에서는 배출량 관찰 결과를 공유했다.	복합명사
排出量解釈	はいしゅつりょうかいしゃく	배출량 해석	배출량을 해석하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量解釈の結果を共有した。	회의에서는 배출량 해석 결과를 공유했다.	복합명사
排出量記録	はいしゅつりょうきろく	배출량 기록	배출량을 기록하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量記録の結果を共有した。	회의에서는 배출량 기록 결과를 공유했다.	복합명사
排出量評価	はいしゅつりょうひょうか	배출량 평가	배출량을 평가하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量評価の結果を共有した。	회의에서는 배출량 평가 결과를 공유했다.	복합명사
排出量調整	はいしゅつりょうちょうせい	배출량 조정	배출량을 조정하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量調整の結果を共有した。	회의에서는 배출량 조정 결과를 공유했다.	복합명사
排出量調査	はいしゅつりょうちょうさ	배출량 조사	배출량을 조사하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量調査の結果を共有した。	회의에서는 배출량 조사 결과를 공유했다.	복합명사
排出量軽減	はいしゅつりょうけいげん	배출량 경감	배출량을 경감하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量軽減の結果を共有した。	회의에서는 배출량 경감 결과를 공유했다.	복합명사
排出量防止	はいしゅつりょうぼうし	배출량 방지	배출량을 방지하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では排出量防止の結果を共有した。	회의에서는 배출량 방지 결과를 공유했다.	복합명사
推進対象	すいしんたいしょう	추진 대상	추진 대상이 되는 항목을 가리키는 한자 복합 명사입니다.	推進対象を一覧にまとめた。	추진 대상을 목록으로 정리했다.	복합명사
損失を予測する	そんしつをよそくする	손실을 예측하다	손실을 예측한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を予測した。	담당자는 회의에서 손실을 예측했다.	동사구
損失を共有する	そんしつをきょうゆうする	손실을 공유하다	손실을 공유한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を共有した。	담당자는 회의에서 손실을 공유했다.	동사구
損失を具体化する	そんしつをぐたいかする	손실을 구체화하다	손실을 구체화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を具体化した。	담당자는 회의에서 손실을 구체화했다.	동사구
損失を分析する	そんしつをぶんせきする	손실을 분석하다	손실을 분석한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を分析した。	담당자는 회의에서 손실을 분석했다.	동사구
損失を分類する	そんしつをぶんるいする	손실을 분류하다	손실을 분류한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を分類した。	담당자는 회의에서 손실을 분류했다.	동사구
損失を可視化する	そんしつをかしかする	손실을 시각화하다	손실을 시각화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を可視化した。	담당자는 회의에서 손실을 시각화했다.	동사구
損失を強化する	そんしつをきょうかする	손실을 강화하다	손실을 강화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を強化した。	담당자는 회의에서 손실을 강화했다.	동사구
損失を把握する	そんしつをはあくする	손실을 파악하다	손실을 파악한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を把握した。	담당자는 회의에서 손실을 파악했다.	동사구
損失を抑制する	そんしつをよくせいする	손실을 억제하다	손실을 억제한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を抑制した。	담당자는 회의에서 손실을 억제했다.	동사구
損失を拡大する	そんしつをかくだいする	손실을 확대하다	손실을 확대한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を拡大した。	담당자는 회의에서 손실을 확대했다.	동사구
損失を改善する	そんしつをかいぜんする	손실을 개선하다	손실을 개선한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を改善した。	담당자는 회의에서 손실을 개선했다.	동사구
損失を数値化する	そんしつをすうちかする	손실을 수치화하다	손실을 수치화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を数値化した。	담당자는 회의에서 손실을 수치화했다.	동사구
損失を整理する	そんしつをせいりする	손실을 정리하다	손실을 정리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を整理した。	담당자는 회의에서 손실을 정리했다.	동사구
損失を明確化する	そんしつをめいかくかする	손실을 명확히 하다	손실을 명확히 한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を明確化した。	담당자는 회의에서 손실을 명확히 했다.	동사구
損失を最適化する	そんしつをさいてきかする	손실을 최적화하다	손실을 최적화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を最適化した。	담당자는 회의에서 손실을 최적화했다.	동사구
損失を検討する	そんしつをけんとうする	손실을 검토하다	손실을 검토한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を検討した。	담당자는 회의에서 손실을 검토했다.	동사구
損失を検証する	そんしつをけんしょうする	손실을 검증하다	손실을 검증한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を検証した。	담당자는 회의에서 손실을 검증했다.	동사구
損失を比較する	そんしつをひかくする	손실을 비교하다	손실을 비교한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を比較した。	담당자는 회의에서 손실을 비교했다.	동사구
損失を活用する	そんしつをかつようする	손실을 활용하다	손실을 활용한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を活用した。	담당자는 회의에서 손실을 활용했다.	동사구
損失を監視する	そんしつをかんしする	손실을 감시하다	손실을 감시한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を監視した。	담당자는 회의에서 손실을 감시했다.	동사구
損失を確認する	そんしつをかくにんする	손실을 확인하다	손실을 확인한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を確認した。	담당자는 회의에서 손실을 확인했다.	동사구
損失を管理する	そんしつをかんりする	손실을 관리하다	손실을 관리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を管理した。	담당자는 회의에서 손실을 관리했다.	동사구
損失を維持する	そんしつをいじする	손실을 유지하다	손실을 유지한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を維持した。	담당자는 회의에서 손실을 유지했다.	동사구
損失を縮小する	そんしつをしゅくしょうする	손실을 축소하다	손실을 축소한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を縮小した。	담당자는 회의에서 손실을 축소했다.	동사구
損失を観察する	そんしつをかんさつする	손실을 관찰하다	손실을 관찰한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を観察した。	담당자는 회의에서 손실을 관찰했다.	동사구
損失を記録する	そんしつをきろくする	손실을 기록하다	손실을 기록한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を記録した。	담당자는 회의에서 손실을 기록했다.	동사구
損失を評価する	そんしつをひょうかする	손실을 평가하다	손실을 평가한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を評価した。	담당자는 회의에서 손실을 평가했다.	동사구
損失を調整する	そんしつをちょうせいする	손실을 조정하다	손실을 조정한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を調整した。	담당자는 회의에서 손실을 조정했다.	동사구
損失を調査する	そんしつをちょうさする	손실을 조사하다	손실을 조사한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を調査した。	담당자는 회의에서 손실을 조사했다.	동사구
損失を軽減する	そんしつをけいげんする	손실을 경감하다	손실을 경감한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を軽減した。	담당자는 회의에서 손실을 경감했다.	동사구
損失を防止する	そんしつをぼうしする	손실을 방지하다	손실을 방지한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で損失を防止した。	담당자는 회의에서 손실을 방지했다.	동사구
損失予測	そんしつよそく	손실 예측	손실을 예측하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失予測の結果を共有した。	회의에서는 손실 예측 결과를 공유했다.	복합명사
損失共有	そんしつきょうゆう	손실 공유	손실을 공유하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失共有の結果を共有した。	회의에서는 손실 공유 결과를 공유했다.	복합명사
損失具体化	そんしつぐたいか	손실 구체화	손실을 구체화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失具体化の結果を共有した。	회의에서는 손실 구체화 결과를 공유했다.	복합명사
損失分析	そんしつぶんせき	손실 분석	손실을 분석하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失分析の結果を共有した。	회의에서는 손실 분석 결과를 공유했다.	복합명사
損失分類	そんしつぶんるい	손실 분류	손실을 분류하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失分類の結果を共有した。	회의에서는 손실 분류 결과를 공유했다.	복합명사
損失可視化	そんしつかしか	손실 시각화	손실을 시각화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失可視化の結果を共有した。	회의에서는 손실 시각화 결과를 공유했다.	복합명사
損失強化	そんしつきょうか	손실 강화	손실을 강화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失強化の結果を共有した。	회의에서는 손실 강화 결과를 공유했다.	복합명사
損失把握	そんしつはあく	손실 파악	손실을 파악하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失把握の結果を共有した。	회의에서는 손실 파악 결과를 공유했다.	복합명사
損失抑制	そんしつよくせい	손실 억제	손실을 억제하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失抑制の結果を共有した。	회의에서는 손실 억제 결과를 공유했다.	복합명사
損失拡大	そんしつかくだい	손실 확대	손실을 확대하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失拡大の結果を共有した。	회의에서는 손실 확대 결과를 공유했다.	복합명사
損失改善	そんしつかいぜん	손실 개선	손실을 개선하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失改善の結果を共有した。	회의에서는 손실 개선 결과를 공유했다.	복합명사
損失数値化	そんしつすうちか	손실 수치화	손실을 수치화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失数値化の結果を共有した。	회의에서는 손실 수치화 결과를 공유했다.	복합명사
損失整理	そんしつせいり	손실 정리	손실을 정리하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失整理の結果を共有した。	회의에서는 손실 정리 결과를 공유했다.	복합명사
損失明確化	そんしつめいかくか	손실 명확화	손실을 명확히 하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失明確化の結果を共有した。	회의에서는 손실 명확화 결과를 공유했다.	복합명사
損失最適化	そんしつさいてきか	손실 최적화	손실을 최적화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失最適化の結果を共有した。	회의에서는 손실 최적화 결과를 공유했다.	복합명사
損失検討	そんしつけんとう	손실 검토	손실을 검토하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失検討の結果を共有した。	회의에서는 손실 검토 결과를 공유했다.	복합명사
損失検証	そんしつけんしょう	손실 검증	손실을 검증하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失検証の結果を共有した。	회의에서는 손실 검증 결과를 공유했다.	복합명사
損失比較	そんしつひかく	손실 비교	손실을 비교하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失比較の結果を共有した。	회의에서는 손실 비교 결과를 공유했다.	복합명사
損失活用	そんしつかつよう	손실 활용	손실을 활용하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失活用の結果を共有した。	회의에서는 손실 활용 결과를 공유했다.	복합명사
損失監視	そんしつかんし	손실 감시	손실을 감시하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失監視の結果を共有した。	회의에서는 손실 감시 결과를 공유했다.	복합명사
損失確認	そんしつかくにん	손실 확인	손실을 확인하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失確認の結果を共有した。	회의에서는 손실 확인 결과를 공유했다.	복합명사
損失管理	そんしつかんり	손실 관리	손실을 관리하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失管理の結果を共有した。	회의에서는 손실 관리 결과를 공유했다.	복합명사
損失維持	そんしついじ	손실 유지	손실을 유지하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失維持の結果を共有した。	회의에서는 손실 유지 결과를 공유했다.	복합명사
損失縮小	そんしつしゅくしょう	손실 축소	손실을 축소하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失縮小の結果を共有した。	회의에서는 손실 축소 결과를 공유했다.	복합명사
損失観察	そんしつかんさつ	손실 관찰	손실을 관찰하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失観察の結果を共有した。	회의에서는 손실 관찰 결과를 공유했다.	복합명사
損失記録	そんしつきろく	손실 기록	손실을 기록하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失記録の結果を共有した。	회의에서는 손실 기록 결과를 공유했다.	복합명사
損失評価	そんしつひょうか	손실 평가	손실을 평가하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失評価の結果を共有した。	회의에서는 손실 평가 결과를 공유했다.	복합명사
損失調整	そんしつちょうせい	손실 조정	손실을 조정하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では損失調整の結果を共有した。	회의에서는 손실 조정 결과를 공유했다.	복합명사
